Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
14.3	0.0030094942	1.9039770692	0.2425093052	31.0411910638	0.1413272014
14.4	0.0031236915	1.9340974212	0.240101405	30.7329798414	0.1404401927
14.5	0.0032876796	1.9564130046	0.2365107535	30.273376452	0.1463744521
14.6	0.0033355482	1.9762675297	0.2699743891	34.5567218063	0.1489221251
14.7	0.0034046313	1.9971346705	0.2358240527	30.1854787397	0.1482590115
14.8	0.0034200684	2.0150645624	0.224446952	28.7292098515	0.1464286008
14.9	0.0034759037	2.0479770856	0.2262023443	28.9539000722	0.1479698646
15	0.0036456987	2.059914408	0.2316309154	29.6487571687	0.1535533207
15.1	0.0037284229	2.0725978648	0.2484257154	31.7984915663	0.1580264973
15.2	0.0037905014	2.10206995	0.2436808228	31.1911453206	0.155829707
15.3	0.0036374919	2.1067615658	0.2334881876	29.8864880161	0.153862679
15.4	0.0037804854	2.1472045294	0.298391318	38.1940887031	0.1700067798
15.5	0.003893102	2.1395856052	0.3000337725	38.4043228779	0.1664275612
15.6	0.0040027889	2.1818827709	0.2932566173	37.5368470143	0.1718580307
15.7	0.0039503224	2.1859474805	0.2941601261	37.6524961425	0.1698410719
15.8	0.0040688899	2.2218272307	0.3375886053	43.2113414846	0.1815692119
15.9	0.0043295631	2.2383493419	0.3362569304	43.0408870933	0.184474759
16	0.0042067942	2.2571225071	0.3366023998	43.0851071774	0.1802596732
16.1	0.0042660323	2.2664298401	0.3404155237	43.5731870343	0.188182917
16.2	0.0042571814	2.2805139186	0.3443210849	44.073098873	0.184947811
16.3	0.0043895936	2.2813280971	0.3393110868	43.4318191138	0.1838582215
16.4	0.0045349603	2.3107003199	0.338331955	43.3064902361	0.1881851815
16.5	0.0047548203	2.3342816501	0.3387100653	43.354888355	0.1938098673
16.6	0.0048459993	2.3467514124	0.3366650704	43.0931290162	0.1962256079
16.7	0.004952002	2.3674762408	0.3338023147	42.7266962866	0.20875554
16.8	0.0048581307	2.3919633416	0.3356446165	42.9625109123	0.2024242948
16.9	0.005121054	2.3997175141	0.3310079594	42.3690187991	0.2052601831
17	0.0050433945	2.4188518781	0.3268834197	41.8410777211	0.1997190176
17.1	0.0052026036	2.4449929478	0.3211213518	41.103533027	0.203227001
17.2	0.0053029681	2.4467256637	0.3225550815	41.2870504265	0.2036682418
17.3	0.00551911	2.4855123675	0.3187232231	40.7965725603	0.2084298821
17.4	0.0057048282	2.5007062147	0.3354584555	42.9386822989	0.2092492508
17.5	0.0058930543	2.5068831627	0.3344365321	42.8078761032	0.2135531477
17.6	0.0056685939	2.5284754156	0.3133719825	40.111613761	0.2055686765
17.7	0.0055335939	2.5491166078	0.3077833662	39.3962708683	0.1978290262
17.8	0.0058837769	2.553748232	0.3058613466	39.1502523662	0.2078468665
17.9	0.0057673777	2.5884846344	0.3065285146	39.2356498661	0.2090995556
18	0.0059528097	2.6082327892	0.3090003524	39.5520451026	0.2097928938
18.1	0.0062669106	2.6226482073	0.3099583115	39.6746638689	0.21327904
18.2	0.0060432371	2.6321022727	0.313620472	40.1434204213	0.2088538404
18.3	0.0061602632	2.6477272727	0.3087826854	39.5241837369	0.212558725
18.4	0.0062253252	2.6524671636	0.3051737046	39.0622341939	0.2066938829
18.5	0.0065706064	2.682753726	0.3061977596	39.1933132262	0.2139584643
18.6	0.0068668027	2.6805801203	0.3141811842	40.2151915808	0.2248170501
18.7	0.0069395403	2.7120567376	0.3031245827	38.7999465799	0.2331504442
18.8	0.0070704278	2.7300461156	0.3015295689	38.5957848173	0.2301517464
18.9	0.007105868	2.7488487425	0.3004974582	38.4636746518	0.2296246916
19	0.0074184942	2.7605533877	0.3137904551	40.1651782562	0.2351361461
19.1	0.0073262902	2.7891204521	0.2964115729	37.9406813343	0.2389358777
19.2	0.0071810111	2.7865724382	0.2974845877	38.0780272207	0.2333266551
19.3	0.0074666579	2.8072161302	0.29934659	38.3163635211	0.2368349254
19.4	0.0075795899	2.8271735304	0.3043932516	38.962336208	0.2408525687
19.5	0.0075309979	2.8310308183	0.3071644734	39.3170525928	0.2373365589
19.6	0.0076153111	2.8439716312	0.3013465934	38.5723639584	0.2368447227
19.7	0.0079591293	2.8531073446	0.3257690241	41.6984350836	0.2429965798
19.8	0.0085315414	2.8661971831	0.4263513131	54.572968076	0.2644554458
19.9	0.0085164967	2.8895943563	0.422708915	54.106741116	0.2587741504
20	0.0086251761	2.8957965383	0.42044041	53.8163724798	0.2639747554
20.1	0.0087458904	2.9258474576	0.4161664854	53.2693101317	0.2561023437
20.2	0.0091201509	2.9376328845	0.4154357054	53.1757702853	0.2752775817
20.3	0.0089846668	2.9549485633	0.4131419855	52.8821741465	0.2607853591
20.4	0.0093188027	2.9596031184	0.4159941459	53.2472506763	0.273461624
20.5	0.0090832956	2.9808510638	0.4175468853	53.4460013207	0.2671089273
20.6	0.0092754812	2.9939609236	0.4179510027	53.4977283465	0.2747293414
20.7	0.0092784125	2.9992892679	0.4198363907	53.7390580098	0.2726241269
20.8	0.0095308162	3.0241477273	0.4227891853	54.1170157133	0.279317705
20.9	0.009468231	3.0240963855	0.4187236418	53.5966261545	0.27820036
21	0.0098828712	3.0470130788	0.4206189602	53.8392269027	0.2964134489
21.1	0.0098525299	3.0596119929	0.4156113946	53.1982585093	0.2934851203
21.2	0.0098854854	3.0678925035	0.4114638596	52.6673740249	0.291262261
21.3	0.0098774309	3.0868486352	0.4096841499	52.4395711853	0.2875916607
21.4	0.0096789208	3.1034482759	0.4123261848	52.7777516605	0.271059343
21.5	0.0098630851	3.1201426025	0.4259123302	54.516778261	0.2749291131
21.6	0.0101056383	3.1273247496	0.4222292402	54.0453427502	0.2695854458
21.7	0.0102999427	3.1332858161	0.423820501	54.2490241306	0.2889273571
21.8	0.0105321099	3.1503920171	0.4285668931	54.8565623207	0.2909052495
21.9	0.0111769996	3.1685152057	0.433859947	55.5340732139	0.2932426417
22	0.0104792507	3.1736954968	0.4357309647	55.7735634813	0.2857501816
22.1	0.0102548717	3.183249821	0.4343400966	55.5955323681	0.2712540344
