# t/tauB rate Stress_mPa
3.530000000000000000e+02 9.986661650535244572e-03 3.687994868175910601e-01
3.540000000000000000e+02 8.953897679505143717e-03 5.966635330403369936e-02
3.550000000000000000e+02 9.426873420315595373e-03 2.054394353519297667e-01
3.560000000000000000e+02 9.497779296207721142e-03 2.266602794284357791e-01
3.570000000000000000e+02 9.857425472406030481e-03 3.319131577978154390e-01
3.580000000000000000e+02 8.593936500358081293e-03 -5.653184252992183439e-02
3.590000000000000000e+02 8.833259438627604279e-03 2.125218558078533285e-02
3.600000000000000000e+02 8.284185047557358558e-03 -1.604865883755699774e-01
3.610000000000000000e+02 8.458390177353341741e-03 -1.015533008542287285e-01
3.620000000000000000e+02 9.868196407839924245e-03 3.350057957153467214e-01
3.630000000000000000e+02 9.592654767206824917e-03 2.548083111511404431e-01
3.640000000000000000e+02 8.293067406874335759e-03 -1.574518438104721141e-01
3.650000000000000000e+02 8.797653958944282385e-03 9.814216091829575800e-03
3.660000000000000000e+02 8.476595744680851668e-03 -9.546458287060319292e-02
3.670000000000000000e+02 9.767552666507844233e-03 3.059756365529048283e-01
3.680000000000000000e+02 1.262002743484224969e-02 1.031559816331337087e+00
3.690000000000000000e+02 9.797157444459777056e-03 3.145459170583028707e-01
3.700000000000000000e+02 8.758620689655173194e-03 -2.778215248801454811e-03
3.710000000000000000e+02 8.415099482147723325e-03 -1.160843482026931162e-01
3.720000000000000000e+02 8.419623153963672751e-03 -1.145624295156861122e-01
3.730000000000000000e+02 9.031644710036670215e-03 8.414961591063027657e-02
3.740000000000000000e+02 9.065194424564632092e-03 9.464970334035915922e-02
3.750000000000000000e+02 9.204336265084885060e-03 1.377862191989095986e-01
3.760000000000000000e+02 8.741199278936091083e-03 -8.416619329335458394e-03
3.770000000000000000e+02 8.264743894973131805e-03 -1.671402181501159268e-01
3.780000000000000000e+02 9.805596364754518013e-03 3.169841553120533173e-01
3.790000000000000000e+02 8.175412191284120444e-03 -1.979160832047926200e-01
